timestamp,kwh
2024-01-01 00:00:00,20.0
2024-01-01 01:00:00,20.5
2024-01-01 02:00:00,21.0
2024-01-01 03:00:00,21.5
2024-01-01 04:00:00,22.0
2024-01-01 05:00:00,22.5
2024-01-01 06:00:00,23.0
2024-01-01 07:00:00,23.5
2024-01-01 08:00:00,24.0
2024-01-01 09:00:00,24.5
2024-01-01 10:00:00,25.0
2024-01-01 11:00:00,25.5
2024-01-01 12:00:00,26.0
2024-01-01 13:00:00,26.5
2024-01-01 14:00:00,27.0
2024-01-01 15:00:00,27.5
2024-01-01 16:00:00,28.0
2024-01-01 17:00:00,28.5
2024-01-01 18:00:00,29.0
2024-01-01 19:00:00,29.5
2024-01-01 20:00:00,30.0
2024-01-01 21:00:00,30.5
2024-01-01 22:00:00,31.0
2024-01-01 23:00:00,31.5
